ID,TenSach,TacGia,LoaiCSDL,STTKe,NXB,ChuDe
262065,Enterprise networking : Strategies and transport protocols,"Leben, Joe ",Sách in,"004.6   
/ M379 
","Upper Saddle River, N.J.: Prentice Hall PTR, 1996",Mạng cục bộ (Mạng máy tính); Local area networks (Computer networks
262090,Teach yourself TCP/IP in 14 days,"Parker, Tim
",Sách in,"004.62   
/ P238 
","Indianapolis, I.N.: Sams Pub., 1996",TCP / IP (Giao thức mạng máy tính); TCP/IP (Computer network protocol)
270867,Internetworking with NetWare TCP/IP,"Kuo, Peter ",Sách in,"005.713   
/ S625 
","Indianapolis, I.N.: New Riders, 1996",TCP/IP (Giao thức mạng máy tính); TCP/IP (Computer network protocol)
262616,Réseaux,"Hernandez, Jean - Alain ;  
Joly, René  - Traducteur
",Sách in,"004.65   
/ T164 
","Paris: Prentice Hall, 1997",Mạng máy tính; Computer networks
270874,The Waite Group's NC guide,"Mohseni, Piroz
",Sách in,"004.6   
/ M699 
","Corte Madera, C.A.: Waite Group Press, 1997",Mạng máy tính; Computer networks
270849,Extranets : Building the business-to-business Web,"Bayles, Deborah L.
",Sách in,"650.0285   
/ B358 
","Upper Saddle River, N.J.: Prentice Hall PTR, 1998",Extranets (mạng máy tính); Extranets (Computer networks)
273502,Practical computer network analysis and design,"McCabe, James D.
",Sách in,"004.65   
/ M478 
","San Francisco, Calif.: Morgan Kaufmann Publishers, 1998",Mạng máy tính; Computer networks
262084,IP multicasting : Concepts and applications,"Niles, Kitty ",Sách in,"004.66   
/ G635 
","New York: McGraw-Hill, 1999",Đa nền tảng (mạng máy tính); Multicasting (Computer networks)
56346,Data and computer communications,"Stallings, William
",Sách in,"004.6   
/ S783 
","UpperSadddle River, NJ: Prentice-Hall, 2000",Data transmission systems; Computer networks; Hệ thống quản lý cơ sở dữ liệu; Mạng máy tính
270846,Administering NetWare 5,"Cady, Dorothy
",Sách in,"005.44769   
/ C126 
","New York: McGraw-Hill, 2000",Mạng cục bộ (mạng máy tính); Local area networks (Computer networks)
272304,Red hat linux network management tools,"Maxwell, Steven
",Sách in,"005.4   
/ M465 
","New York: McGraw Hill, 2000",Mạng máy tính; Computer networks
272343,Cisco router handbook,"Sackett, George C.
",Sách in,"004.62   
/ S121 
","New York: McGraw-Hill, 2000",Bộ phân tuyến (mạng máy tính); Routers (Computer networks)
272359,All-in-one Novell 5 CNA/CNE exam guide,"Mueller, John Paul
",Sách in,"005.7   
/ M946 
","New York: McGraw-Hill, 2000",Mạng máy tính; Computer networks
166787,Admin911 : SMS,"Trent, Rod
",Sách in,"005.71   
/ T795 
","Berkley: Osborne/McGraw-Hill, 2001",Computer networks; Mạng máy tính
48375,Mạng máy tính,"Hồ, Anh Phong  - Dịch giả
",Sách in,"004.65   
/ T164 
","[Hà Nội]: Thống Kê, 2002",Computer networks; Mạng máy tính
262003,Virus tin học - huyền thoại và thực tế,"Ngô, Anh Vũ
",Sách in,"005.84   
/ V500 
","Thành phố Hồ Chí Minh: Nxb. Thành phố Hồ Chí Minh, 2002",Mang máy tính; Computer networks
262454,TCP-IP administration de réseau: Craig Hunt ; Traduction de Emmanuel Chaput et Stéphane Larroque,"Chaput, Emmanuel - Traduction de ;  
Larroque, Stéphane  - Traduction de
",Sách in,"004.6   
/ H939 
","Paris: O'Reilly, 2002",TCP / IP (Giao thức mạng máy tính); TCP/IP (Computer network protocol)
152426,Thiết kế & cài đặt mạng  = Thiết kế và cài đặt mạng: Phiên bản 1.0,"Ngô, Bá Hùng
",Sách in,"004.65   
/ H513 
","Cần Thơ: Trường Đại học Cần Thơ, 2003",Network computers; Mạng máy tính
262674,Analyse structurée des réseaux : Des applications de l'Internet aux infrastructures de télécommunation,"Kurose, James
",Sách in,"004.65   
/ K96 
","Paris: Pearson education, 2003",Mạng máy tính; Computer networks
138730,Internet technology handbook : Optimizing the IP network,"Miller, Mark
",Sách in,"004.62   
/ M649 
","Hoboken, N.J.: John Wiley, 2004",Computer networks; TCP/IP (Computer network protocol); Network performance (Telecommunication); Internet; Mạng máy tính
272421,Mạng máy tính. Tập 1,"Tống, Văn On
",Sách in,"004.65   
/ O.429/T.1 
","Hà Nội: Thống kê, 2004",Cấu trúc mạng máy tính; Computer network architectures
112307,Tự học quản lý mạng CCNA (Cisco ),Hồng Phúc ,Sách in,"004.6   
/ T502 
","Hà Nội: Thống kê, 2005",Computer networks; Mạng máy tính
162920,Network + study guide,"Skandier, Toby ",Sách in,"004.6   
/ G881 
","San Francisco: Wiley, 2005",Microsoft software; Computer networks; Telecommunications engineers; Mạng máy tính; Kỹ sư viễn thông; Phần mềm Microsoft
275992,Giáo trình lập trình ứng dụng mạng với Python,"Đỗ, Thanh Nghị ",Sách in,"004.67   
/ Ph300 
","Cần Thơ: Nxb. Đại học Cần Thơ, 2021",Communication; Truyền thông; Internet (Mạng máy tính); Internet (Computer network)
258771,An toàn thông tin : Mạng máy tính truyền số và truyền dữ liệu,"Phạm, Minh Việt ",Sách in,"005.8   
/ Nh500 
","Hà Nội: Khoa học và Kỹ thuật, 2004",Database security; An toàn dữ liệu
272447,Mã hóa thông tin : Cơ sở toán học và ứng dụng,"Phạm, Huy Điển
",Sách in,"005.8   
/ Đ305 
","Hà Nội: Viện toán học, 2004",Bảo mật dữ liệu; Data security
173657,Bảo mật trong Windows server 2003,"Minh Mẫn
",Sách in,"005.8   
/ M312 
","Thành phố Hồ Chí Minh: Thống Kê, 2003",Microsoft Windows server; Database security; Máy chủ phần mềm Windows; An tòan dữ liệu
162924,Teach yourself visually windows home server,"McFedries, Paul
",Sách in,"005.4476   
/ M478 
","Indianapolis, IN: Wiley Pub., 2008",Hệ điều hành (Máy tính); Microsoft Windows server; Operating systems (Computers); Microsoft Windows server
112303,Làm chủ Window server 2003. Tập 2,"Hoàng, Đức Hải  - Đồng tác giả
",Sách in,"005.446   
/ D513/T.2 
","Hà Nội: Thống kê, 2004",Client/server computing; Microsoft windows server; Máy chủ và máy trạm
270948,Tự học quản trị mạng và ứng dụng của active directory trong môi trường windows server. Tập 2,"Ngọc Tuấn
",Sách in,"005.43769   
/ Ng419/T.2 
","Hà Nội: Thống kê, 2004",Máy chủ Microsoft Windows; Microsoft Windows server
56349,Mastering web services security,"Ngọc Tuấn
",Sách in,"005.8   
/ M423 
","Indianapolis, IN: Wiley, 2003",computer networks; web sites; database security
124411,Oracle E- Business suite sericurty,"Abel, John
",Sách in,"658.0557585   
/ A139 
","New York, NY: McGraw- Hill, 2007",Oracle ( Computer file ); Database security; Electronic commerce.
92730,Tự học quản trị mạng và ứng dụng của active directory trong môi trường windows server tập 1,"Ngọc Tuấn
",Sách in,"005.43769   
/ Ng419 
","Hà Nội: Thống kê, 2004",Computer networks; Windows ( computer programs )
92891,"Quản trị mạng máy tính tối ưu hoá thực thi mạng với Content Switching : Server, Firewall và cân bằng tải","Nguyễn, Ngọc Tuấn
",Sách in,"004.6   
/ T502 
","Hà Nội: Thống kê, 2004",Mạng máy tính; Computer networks
93600,Tin học ứng dụng : Tự học TCP/ IP trong 14 ngày,Tín Dũng ,Sách in,"004.678   
/ Qu106 
","Hà Nội: Thống Kê, 2004",Computer networks; Internet ( conmputer network )
185966,Giáo trình mạng máy tính,"Phạm, Thế Phi ",Sách in; Sách điện tử,"004.678   
/ Qu106 
","Cần Thơ: Nxb. Đại học Cần Thơ, 2014",Computer networks; Internet ( conmputer network )
153113,Managing and using information systems : A strategic approach,"Saunders, Carol S. ",Sách in,"658.4038   
/ P361 
","Hoboken, N.J.: Wiley, 2010",Knowledge management; Information technology; Management information systems; Business enterprises; Industrial management; Strategic planning; Kế hoạch chiến lược; Hệ thống quản lý thông tin
155030,Security+ guide to network security fundamentals,"Ciampa, Mark
",Sách in," 005.8   
/ C565 
","Boston, MA: Course Technology, 2009",Computer networks
154909,"Networking fundamentals : Wide, local and personal area communications","Krishnamurthy, Prashant ",Sách in,"004.6   
/ P141 
","Chichester, U.K.: Wiley, 2009",Computer networks
127804,CWSP guide to wireless security,"Ciampa, Mark
",Sách in,"005.8   
/ C565 
","Australia: Thomson, 2007",Wireless LANs; Wireless communication systems; Computer networks
127791,Data communications and computer networks : A business user's approach,"White, Curt M.
",Sách in,"004.6   
/ W582 
","Australia: Thomson, 2007",Computer networks; OSI (Computer network standard); Data transmission systems
153232,Information systems for managers : Texts & cases,"Piccoli, Gabriele
",Sách in,"658.4038   
/ P591 
","Hoboken, NJ: John Wiley & Sons Inc, c2008",Management information systems; Business; Quản trị hệ thống thông tin; Kinh doanh
129744,Niên giám công nghệ thông tin-truyền thông Việt Nam 2006  = Vietnam ICT directory 2006: Vietnam ICT directory 2006,"Hội tin học Tp.Hồ Chí Minh-HCA.
",Sách in,"004.69025   
/ T109 
","Thành phố Hồ Chí Minh: Nhà xuất bản Thành phố Hồ Chí Minh, 2006",Internet addresses; World wide web (information retrieval system); Thế giới web (hệ thống thông tin); Địa chỉ internet
137235,Management information systems,"Marakas, George M. ",Sách in,"658.4038011   
/ O.13 
","Boston: McGraw-Hill Irwin, 2006",Management information systems; Hệ thống thông tin quản lý
142890,Giáo trình phân tích thiết kế hệ thống thông tin quản lý : (Dùng trong các trường THCN),"Phạm, Minh Tuấn
",Sách in,"005.74   
/ T502 
","Hà Nội: Giáo dục, 2006",Database management; Information systems; Quản trị CSDL; Hệ thống thông tin
153004,Information security : A strategic approach,"LeVeque, Vincent
",Sách in,"658.0558   
/ L657 
","Hoboken, N.J.: Wiley, 2006",Computer security; Management information systems; Strategic planning; Bảo mật máy tính; Quản lý hệ thống thông tin; Hoạch định chiến lược
153022,Lessons in grid computing : The system is a mirror,"Robbins, Stuart
",Sách in,"658.4038   
/ R636 
","Hoboken, N.J.: Wiley, 2006",Information technology; Business; Management information systems; Industrial management; Decision making; Quản lý công nghiệp; Hệ thống thông tin quản lý; Kinh doanh
153570,Management information systems : Managing the digital firm,"Laudon, Jane Price ",Sách in,"658.4038011   
/ L372 
","Upper Saddle River, NJ: Pearson/Prentice Hall, 2006",Management information systems; Hệ thống thông tin quản lý
132972,Knowledge management : Tools and techniques,"Sharma, Ravi - author ;  
Chua, Alton  - author
",Sách in,"658.4038   
/ F686 
","Singapore: Pearson Education South Asia, 2007",Quản lý tri thức; Quản lý tri thức; Hệ thống thông tin quản lý; Quản trị nguồn lực thông tin; Knowledge management; Knowledge management; Management information systems; Information resources management
170110,Design of information systems : a modern approach,"Mohanty, Ashok ",Sách in,"004.21   
/ M678 
","Oxford: Alpha Science, 2007",System design; Information storage and retrieval systems; Thiết kế hệ thống thông tin; Lưu trữ và truy xuất thông tin
110664,Giáo trình hệ thống thông tin quản lý,"Phạm, Thị Thanh Hồng
",Sách in,"658.05   
/ H455 
","Hà Nội: Bách khoa Hà Nội, 2010",Hệ thống thông tin quản lý; Hệ thống thông tin; Management information systems; Information system
208831,Giáo trình lập trình cho thiết bị di động,"Đoàn, Hòa Minh ",Sách in; Sách điện tử,"005.1   
/ H513 
","Cần Thơ: Nxb. Đại học Cần Thơ, 2016",Mobile communication systems; Hệ thống thông tin di động; Computer programs; Chương trình máy tính
270840,Web development with Microsoft resources,"Townsend, James J. ",Sách in,"005.269   
/ W364 
","Indianpolis, Ind.: Sams.net, 1996",Trang web; Web sites
43414,Quick guide to internet for political science,"Kenneth C Wedding
",Sách in,"005.3   
/ W388 
","Boston, Massachusetts: Allyn and Bacon, 1998",internet addresses; web sites; world wide web ( information retrieval system )
32748,Active server pages black book (CD-ROM included),"Kim Barber - Tác giả ;  
Paul Newkirk  - Tác giả
",Sách in,"005.276   
/ W721 
","Albany, New York: Coriolis, 1998",active server pages; web sites - design
43415,Quick guide to internet for sociology,"Joseph D Rivard  - Tác giả
",Sách in,"005.3   
/ T476 
","Boston, Massachusetts: Allyn and Bacon, 1998",internet addresses; web sites; world wide web ( information retrieval system )
272356,FrontPage 2000 developer's guide,"Jennett, Mike
",Sách in,"005.72   
/ J54 
","Berkeley, Calif.: Osborne/McGraw-Hill, 1999",Web sites; Web sites
121984,Thiết kế ảnh động và thiệp điện tử bằng Macromedia Flash MX : Một cách nhanh chóng và có hiệu quả nhất qua các chương trình mẫu,"Đậu, Quang Tuấn
",Sách in,"006.696   
/ T502 
","Hà Nội: Giao thông vận tải, 2006",Đồ họa máy tính; Computer graphics
127786,"Web design The L line, the express line to learning","Jenkins, Sue
",Sách in,"005.72   
/ J52 
","Hoboken: Wiley Publishing, Inc., 2007",Web sites
150989,Thiết kế Web với Javascript và DOM,"Hoàng, Đức Hải ",Sách in,"005.2762   
/ S312 
","Tp.Hồ Chí Minh: Phương đông, 2007",JavaScript (Computer program language); Web sites
150999,Tự học ASP trong 10 tiếng,"Hoàng, Đức Hải ",Sách in,"005.276   
/ T550 
","Hà Nội: Văn hóa Thông tin, 2007",Internet programming.; Web sites; Web servers
154916,Adobe Dreamweaver CS4  = Adobe Dreamweaver CS4 :: Comprehensive concepts and techniques,"Wells, Dolores J. ",Sách in,"006.78   
/ S545 
","Australia: Course Technology, 2010",Dreamweaver (Computer file); Web sites
155086,Lập trình web bằng PHP 5.3 và Cơ sở dữ liệu MySQL 5.1. T.1,"Phương Lan  - Hiệu đính
",Sách in,"005.2762   
/ Kh106 
","Thành phố Hồ Chí Minh: Phương Đông, 2010",PHP (Ngôn ngữ lập trình máy tính); Trang web; PHP (Computer program language); Web sites
42031,Microsoft FrontPage 2000 toàn tập : ứng dụng tin học phổ thông,"Hoàng, Đức Hải ",Sách in,"005.376   
/ S312 
","Hà Nội: Giáo Dục, 2000",Chương trình Microsoft; Microsoft FrontPage
158566,Professional ASP data access = ASP data access,"Esposito, Dino ",Sách in,"005.276   
/ P964 
","Birmingham, U.K.: Wrox, 2000",Web sites; Web servers
270765,"Construire un site e-commerce avec ASP, VB, SQL server et MTS","Reverchon, Alain - Traducteur ;  
Thierry, Florence - Traducteur ;  
Vassaux, Geneviève  - Traducteur
",Sách in,"004.678   
/ R462 
","Paris: Eyrolles, 2000",Trang Web; Web sites
52973,ASP 3.0 và ASP.net,"Nguyễn, Phương Lan
",Sách in,"005.276   
/ L105 
","Hà Nội: Giáo Dục, 2001",Active server pages; Web sites
58132,Web project management Delivering succcessful commercial web sites,"Ashley Friedlein
",Sách in,"650.02854628   
/ F911 
","San Francisco, CA: Morgan Kaufmann, 2001",web sites
157019,"ASP, ADO, and XML complete","Ashley Friedlein
",Sách in,"005.276   
/ A188 
","San Francisco: Sybex, 2001",Active server pages; ADO (Computer program); XML (Document markup language); Web sites; Web servers; Internet programming
49805,Toàn tập Microsoft Office 2002,"LỮ ĐỨC HÀO
",Sách in,"005.3   
/ H108 
","Tp. HCM: Thống Kê, 2002",microsoft fronpage ( computer programs ); web sites
54870,Building electronic commerce With web database constructions,"Anne Nelson
",Sách in,"658.8'4   
/ N425 
","Boston, MA.: Addison-Wesley, 2002",electronic commerce; web sites
56384,Red hat Linux security and optimization,"Mohammed J. Kabir
",Sách in,"005.8   
/ K11 
","New York: Hungry Minds, 2002",computer networks; firewall; web sites; client/server programming
56393,Firewalls The complete reference,"Keith E. Strassberg
",Sách in,"005.8   
/ S898 
","New York: McGraw-Hill, 2002",web sites; computer networks
60735,Cẩm nang địa chỉ internet quốc tế,"Nguyễn, Sanh Phúc
",Sách in,"004.69025   
/ Ph506 
","Đồng Nai: Tổng hợp Đồng Nai, 2002",Internet addresses; Web sites
157210,Flash MX,"Herber, Norbert. ",Sách in,"006.696   
/ W336 
","San Francisco: Sybex, 2002",Computer animation.; Web sites; Flash (Computer file)
164115,Flash ™ MX Actionscript : The designer’s edge™,"Hall, Jennifer S. ",Sách in,"006.696   
/ H223 
","San Francisco, CA: Sybex, 2002",Computer animation; Flash (Computer file); Computer graphics; Web sites; Hoạt hình máy tính; Tia sáng ( Tập tin máy tính); Đồ họa máy tính; Trang Web
56375,.Net security programming,"Donis Marshall
",Sách in,"005.8   
/ M367 
","Indianapolis, IN: Wiley, 2003",computer networks; web sites
56875,8000 địa chỉ internet và các website thông dụng,"Công Sơn
",Sách in,"004.69025   
/ C455 
","H.: Thống Kê, 2003",internet addresses; web sites
58129,"Maintaining and evolving successful commercial web sites Managing chanhge, content, customer relationships, and site management","Ashley Friedlein
",Sách in,"650.02854628   
/ F911 
","Amsterdam, The Netherlands: MK, 2003",web sites
60086,Những bí quyết để thành công trong chiến lược tiếp thị WEB,"Carl Burnham
",Sách in,"384.3   
/ B966 
","H.: Thống kê, 2003",web sites; client/server computing
157026,The hidden power of Flash components,"Williams, Brandon ",Sách in,"006.696   
/ H223 
","San Francisco, Calif.: SYBEX, 2003",Flash (Computer file); Computer animation; Web sites
112329,Microsof Frontpage 2000 toàn tập,"Nguyễn, Trường Sinh
",Sách in,"005.72   
/ S312 
","Hà Nội: Lao động - Xã hội, 2004",Web publishing; Microsoft frontpage; Web sites
262035,Le système Linux,"Welsh, Matt
",Sách in,"005.4   
/ W461 
","Paris: O'Reilly, 1995",Linux (tệp máy tính); Linux (Computer file)
272375,Linux device drivers,"Rubini, Alessandro
",Sách in,"005.4   
/ R896 
","Sebastopol, CA: O'Reilly & Associates, Inc., 1998",Trình điều khiển thiết bị Linux (Chương trình máy tính); Linux device drivers (Computer programs)
38352,Linux toàn tập,"VN  - Guide
",Sách in,"005.28   
/ L761 
","Tp. HCM: Thống Kê, 2000",linux ( computer programs )
49347,Red hat linux network management tool (0 07 212262 5),"STEVE MAXWELL
",Sách in,"005.4469   
/ M465 
","McGraw-Hill, 2000",linux ( computer programs )
45365,Giáo trình tin học ứng dụng. T1 - Lập trình LINUX,"Nguyễn Phương Lan - Tác giả ;  
Hoàng Đức Hải - Tác giả ;  
Thanh Duy  - Biên tập, hiệu đính
",Sách in,"005.28   
/ L105/T1 
","Hà Nội: Giáo Dục, 2001",linux ( computer programming language ); operating system
47513,Hệ điều hành LINUX giao diện đồ họa GNOME,"Bùi Việt Hà
",Sách in,"005.28   
/ H100 
","Hà Nội: Giáo Dục, 2001",linux ( computer programs ); operating systems ( computer programs )
52207,Linux giáo trình lý thuyết và thực hành. Tập 1,"Hoàng, Đức Hải ",Sách in,"005.42   
/ H407/T.1 
","Hà Nội: Lao động - Xã hội, 2002",Linux (computer programs); Linux (chương trình máy tính)
56362,Red hat Linux networking and system administration,"Terry Collings
",Sách in,"005.42   
/ C711 
","New York: Wiley, 2002",linux ( computer programs ); system administration
56368,Red hat Linux survival guide,"Mohammed J. Kabir
",Sách in,"005.42   
/ K11 
","New York: Hungry Minds, 2002",system administration; linux ( computer programs )
56529,Red hat Linux networking and system administration,"Terry Collings
",Sách in,"005.42   
/ C711 
","New York: Wiley, 2002",linux ( computer programs ); system administration
272466,Bảo mật và tối ưu trong Red Hat Linux,"Trần, Tiến Dũng - Hiệu đính ;  
Đoàn, Thiện Ngân  - Cố vấn khoa học
",Sách in,"005.42   
/ T513 
","Hà Nội: Lao động - Xã hội, 2002",Chương trình Linux; Linux programming series
56295,Red Hat Linux Internet server,"Paul G. Sery
",Sách in,"005.7585   
/ S491 
","Indianapoliss, IN: Wiley, 2003",internet ( computer network ); system administration; linux ( computer programs ); client/server computing
58102,"The Linux process manger The internals of scheduling, interrupts and signals","John O'Gorman
",Sách in,"005.4469   
/ O.34 
","Chichester, Eng: John Wiley and Sons, 2003",linux; operating systems ( computers )
151235,"Linux & OpenVMS interoperability : Tricks for old dogs, new dogs, and hot dogs with open systems","Wisniewski, John Robert
",Sách in,"005.432   
/ W815 
","Boston, Mass.: Digital Press, 2003",Linux; OpenVMS device drivers
262123,Halte aux hackers Linux,"Kurtz, George ",Sách in,"005.8   
/ H361 
","Paris: OEM-Eyrolles, 2003",Linux (Hệ điều hành); Linux (Operating system)
270790,Le système Linux. Volume 3,"Welsh, Matt ",Sách in,"005.4   
/ S995/Vol.3 
","Paris: O'Reilly, 2003",Linux (tệp máy tính); Linux (Computer file)
270791,Le système Linux. Volume 4,"Welsh, Matt ",Sách in,"005.4   
/ S995/Vol.4 
","Paris: O'Reilly, 2003",Linux (tệp máy tính); Linux (Computer file)
273488,Linux en concentré : Manuel de référence,"Siever, Ellen ",Sách in,"005.4   
/ L761 
","Paris: O'Reilly, 2003",Linux (tệp máy tính); Linux (Computer file)
101055,Nhập môn hệ điều hành Linux,"Nguyễn, Quang Huy - Tác giả ;  
Nguyễn, Hữu Đức  - Tác giả
",Sách in,"005.28   
/ Th523 
","Hà Nội: Khoa học và Kỹ thuật, 2005",Operating systems ( computer programs ); Linux ( computer programs )
106442,Quản trị hệ thống Linux,"Trương, Diệu Linh ",Sách in,"005.28   
/ Th523 
","Hà Nội: Khoa học và Kỹ thuật, 2005",Linux (computer programs); Operating systems
191182,Giáo trình phần mềm nguồn mở,"Đỗ, Văn Xê
",Sách in; Sách điện tử,"005.432   
/ X250 
","Cần Thơ: Nxb. Đại học Cần Thơ, 2014",Open source software; Linux ( computer programs ); Phần mềm mã nguồn mở
23286,Networking security and standards,"Weidong Kou
",Sách in,"005.8   
/ K88 
","Boston: Kluwer Academic, 1997",firewall; network security; standards
23290,Maximum security: A Hacker's guide to protecting your Internetsite and network,"Nonymous
",Sách in,"005.8   
/ A615 
","Indiana: Samsnet, 1997",firewall; internet; network security
164119,The art of 3D computer animation and effects,"Kerlow, Isaac Victor
",Sách in,"006.696   
/ K39 
","Hoboken, N.J.: John Wiley & Sons, 2004",Computer graphics; Computer animation; Đồ họa máy tính; Hoạt hình máy tính
165706,3ds max at a glance,"Maestri, George
",Sách in,"006.696   
/ M186 
","Indianapolis, Ind.: Wiley Pub., 2008",Computer animation; Computer graphics; Hoạt hình máy tính; Đồ họa máy tính
23329,Computer Animation programming methods techniques,"Maria P Canton  - Tác giả
",Sách in,"006.6   
/ S211 
","New York: McGraw - Hill, 1995",MS - DOS ( computer file ); Windows ( computer programs ); computer animation
48283,Hướng dẫn sử dụng Flash 5.0 = Flash nhanh và dễ toàn tập,"Phạm, Quang Hiển - Tác giả ;  
Hồ, Chí Hòa  - Tác giả
",Sách in,"006.696   
/ H523 
","Hà Nội: Thống Kê, 2001",Flash (Computer program); Flash (chương trình máy tính)
52068,Thực hành thiết kế cho Web với Macromedia Flash 5,"Nguyễn Tiến
",Sách in,"006.696   
/ T305 
","H.: Thống Kê, 2001",computer graphics; computer animation
56377,"MPEG-4 facial animation The standard, implementation and applications","Igor S. Pandzic
",Sách in,"006.68   
/ M939 
","Chichester: John Wiley and Sons, 2002",computer graphics; computer animation
119115,Bài tập thực hành thiết kế ảnh động và làm hoạt hình với Macromedia Flash MX,"Hồ, Xuân Phương ",Sách in,"006.696   
/ K304 
","Thành phố Hồ Chí Minh: Trẻ, 2002",Computer animation; Computer graphics
58133,Macromedia dreamweaver MX H.O.T Hands-on training,"Garo Green
",Sách in,"006.696   
/ G795 
","Berkeley, CA: Peachpit Press, 2003",computer animation; computer graphics
59866,Các công cụ hỗ trợ thiết kế Web Flash MX nhìn từ góc độ kỹ thuật,"Phạm Quang Huy
",Sách in,"006.68   
/ H523 
","H.: Thống kê, 2003",computer graphics; computer animation; flash mx ( computer programs )
74774,Bài tập thực hành Wildform Fx & Flash Mx,"Phạm, Quang Huy
",Sách in,"006.696   
/ H523 
","Hà Nội: Thống Kê, 2003",Computer Animation; Computer Graphics
124410,Mastering Maya® 7,"Kundert  - Gibbs, John L.
",Sách in,"006.696   
/ M423 
","Indianapoliss, IN.: Wiley Publishing, Inc., 2006",Computer animation; Maya ( Computer file ); Three-dimensional display systems.; Đồ họa máy tính; Maya ( tệp máy tính ); Hệ thống hiển thị ba chiều
270868,Flash 5 for Windows and Macintosh,"Ulrich, Katherine
",Sách in,"006.696   
/ U45 
","Berkeley, C.A.: Peachpit Press, 2001",Flash (tệp máy tính); Flash (Computer file)
125909,Macromedia Flash 5 : Căn bản và chuyên sâu,"Ulrich, Katherine
",Sách in,"006.68   
/ M174 
","Hà Nội: Thống Kê, 2002",Flash (tệp máy tính); Flash (Computer file)
270956,Thiết kế mô hình động trong quản cáo và giảng dạy với Coreldraw 10 và Flash 5 : Bài tập thực hành,"Phạm, Quang Huy - Biên soạn ;  
Phạm, Phương Hoa  - Biên soạn
",Sách in,"006.696   
/ Th308 
","Hà Nội: Thống kê, 2003",Phần mềm đồ họa CorelDRAW!; CorelDRAW; Flash (tệp máy tính); Flash (Computer file)
258768,Active server pages black book,"Newkirk, Paul ",Sách in,"005.276   
/ W721 
","Albany, NY.: Coriolis Group, Inc., 1988",Web site; Active server pages; Web
60006,Giáo trình tin học lý thuyết và bài tập ASP 3.0 ASP.NET,"Nguyễn Phương Lan
",Sách in,"005.276   
/ L105 
","H.: LĐXH, 2003",active server pages; web sitesactive server pages
95359,Net toàn tập. Tập 5 - Lập trình Web dùng ASP.NET và C#,"Dương, Quang Thiện  - Biên soạn
",Sách in,"005.276   
/ N207/T.5 
","Thành phố Hồ Chí Minh: Tổng hợp Thành phố Hồ Chí Minh, 2005",C++ (Computer program language); Active server pages; Web sites
100408,Lập trình thiết kế web trong ASP.net với các ví dụ C#,Hồng Phúc ,Sách in,"005.276   
/ T502 
","Hà Nội: Thống kê, 2005",Active server pages; Web sites
154904,ASP.NET programming with C# and SQL server,"Gosselin, Don
",Sách in,"005.276   
/ G679 
","Boston, MA: Course Technology/Cengage Learning, 2010",Active server pages; SQL server; Microsoft .NET; Web site development; C# (Computer program language)
